,ID,Name,Location,Join Date,Reports To,Highest Qualification,Major,University,All Qualifications,Courses Taught,Major Teaching Field,Relevant Experience,Criteria
26,LT9303960,Chris Kotler,Manchester,22-Sep-14,Ian Varley,Master of Business Administrator,Executive BA,MIT University,"Bachelor (Psychology), Master of Business Administrator (Executive BA), Post Graduate Diploma (Business studies)",US3406 - Work Related Learning US2003 - Business and Commercial Law SS2103 - Personal Finance,"Law, Business Administration","Admitted to the Bar of British Columbia, Canada, licensed to practice law. Graduate Certification in Tertiary Teaching and Learning, 9 years teaching experience",Certification
27,LT9299279,Merlyn Fernandes,Manchester,17-Aug-14,Ian Varley,Master of Business Administrator,Human Resource Management,Bharathi University,"Master of Business Administrator (Human Resource Management), Bachelor of Business Admin. (Business Administration)",US3003 - Managing People andOrganisations US3406 - Work Related Learning US1303 - Marketing,"Management, RMandMarketing",Certified Hospitality Educator(American Hotleirs and Lodging Association) 6+years experience in Higher education in AE. 7years experience in Corporate He and media marketing.,Industry and Teaching experience
28,LT9304864,Justina Kelly,Manchester,28-Sep-14,Ian Varley,Ph.D,Psychology,University Kerala,"Certificate (Project Management), Masters (Business), Masters (Psychology), Bachelor (Psychology), Ph.D (Psychology)",SS2533 - Research Methods US3406 - Work Related Learning US1203 - Software Apps for Business US3203 - Start Gt Bus Simulation,Business Administration,"MP certified, DP IM ahmedabad, SI middle east ISO trained, 15 years teaching experience",Industry and Teaching experience
29,LT9305872,Mariam Ahmed,Manchester,18-Jan-15,Ian Varley,Master of Commerce,Labor Management,DST Women's University,"Bachelor (Commerce), Bachelor of Education (Education), Master of Commerce (Labor Management)",SM1003 - Applied Mathematics US3406 - Work Related Learning US1103 - Economics for Managers,nan,nan,Industry and Teaching experience
30,LT9281224,Donald West,Manchester,04-Nov-13,Ian Varley,Masters,International Business,University of Wollongong,"Bachelor (Educational Studies), Certificate (Educational Studies), Masters (International Business), Post Graduate Diploma (Executive Human Resources Gt)",SS2533 - Research Methods US3903 - Contemporary Business US3406 - Work Related Learning US1203 - Software Apps for Business,Business Administration and RM,"AFE Certificate In in Training and Assessment, In3, TEC Advanced Professional Diploma in Executive RM, Cirt. in Advanced Classroom Assessment, Professional Teachers' Certificate. More than 7 years teaching experience",Industry and Teaching experience
31,LT9237572,Richard Baynor,Manchester,11-Mar-12,Ian Varley,Master of Business Administrator,Business Administration,Loyal University of Chicago,"Graduate Certificate (Teaching and Learning), Bachelor of Arts (Social Science), Master of Business Administrator (Business Administration)",SM1003 - Applied Mathematics US1103 - Economics for Managers US1403 - Business Ethics and Corporate,"Finance, Economics and International Business","Graduate Certificate in Teaching and Learning, Kaplan and Norton Balanced Scorecard Certificate in Strategy Management and Implementation",Industry and Teaching experience
32,LT9251121,Juila Demetris,Manchester,26-Aug-12,Ian Varley,Master of Business Administrator,Leadership and Management,Bureau University,"Associate in Arts (Business), Bachelor of Arts (French), Master of Business Administrator (Leadership and Management)",US2403 - Innovation and Entrepreneurship US3406 - Work Related Learning US4573 - Advanced Strategic Management CSD2023 - Intermediate Risk Management CSD2102 - Customs Admin Pro I,Business Administration - Leadership,"Certificate in Islamic Finance, 9 years teaching experience",Industry and Teaching experience
33,LT9251119,Rick Salter,Manchester,26-Aug-12,Ian Varley,Ph.D,Commerce,University of South Africa,"Ph.D (Commerce), Bachelor (Business Economics), Post Graduate Diploma (Education), Masters (Commerce)",US3103 - Internet Bus Globalization SM1003 - Applied Mathematics US2103 - Operations Management,Business Administration and  Supply Chain management,14 years teaching experience,Industry and Teaching experience
34,LT9284377,Jake Fisher,Manchester,06-Apr-14,Ian Varley,Master of Business Administrator,Business Management,The University of Warwick,"Bachelor of Science (Business studies), Master of Business Administrator (Business Management)",US2933 - Macroeconomic SS2103 - Personal Finance,"Internal Business, Strategy, Marketing",Industry experience - 10 years Teaching experience 5 years.,Industry and Teaching experience
35,LT9285255,Claudette Pierce,Manchester,01-Jun-14,Ian Varley,Master of Business Administrator,Management,University of Keel,"Master of Business Administrator (Management), GC in Education (Education), Bachelor of Arts (Also.of Accounting Technicians)",US3103 - Internet Bus Globalization US2403 - Innovation and Entrepreneurship,Business management,"25 years teaching experience, Post Graduate Certificate in Education (Up), Member of Higher Education Academy",Industry and Teaching experience
36,LT9216320,Mark Morrow,Manchester,30-Jan-11,Ian Varley,Masters,International Marketing,Syddansk University,"Masters (International Marketing), Bachelor (Business)",US4533 - Int'l Quality Gt System US3406 - Work Related Learning US1203 - Software Apps for Business US1303 - Marketing,International Marketing,17 years teaching experience,Industry and Teaching experience
37,LT9254788,Piers Southley,Manchester,12-Sep-12,Ian Varley,Master of Business Administrator,International Management,Thunderbird Sch.Global Mgm.,"Bachelor (International Business), Master of Business Administrator (International Management)",SH2203 - Critical Thinking US4563 - Strategic Marketing Management US3203 - Start Gt Bus Simulation,International Management and International Brand Management,11 years teaching experience and 20 years industry experience,Industry and Teaching experience
38,LT9211421,Malik Owabare,Manchester,01-Sep-11,Ian Varley,Ph.D,Business Policy Development,De Montfort University,"Post Graduate Diploma (Management Science), Bachelor (Economics), Masters (Business Management), Ph.D (Business Policy Development)",US2303 - Financial Management CSD2033 - International Conventions US3406 - Work Related Learning SD2067 - Business Work Placement US2103 - Operations Management,E-Business and  Management,9+ years of teaching experience,Industry and Teaching experience
39,LT9003154,Roger Watkins,Manchester,04-Nov-13,Ian Varley,Masters in Quality Management,Quality Management,University of Wollongong,"Masters in Quality Management (Quality Management), Bachelor of Arts (Psychology)",US4583 - ISO Standards and Excellence SH2203 - Critical Thinking US3406 - Work Related Learning,Quality Management,"FM ISO 9001 Internal Auditor, FM ISO 9001 External Auditor, 24 years teaching experience",Industry and Teaching experience
40,LT9210954,Boris Meadows,Manchester,29-Aug-10,Ian Varley,Ph.D,Professional Studies,Middlesex University,"Ph.D (Professional Studies), Master of Business Administrator (Business Administration), Bachelor (Finance)",US2203 - Business Stats for Managers US3406 - Work Related Learning US4243 - International Trade and Finance US1503 - Accounting for Managers,Strategic Organizational Development and  Financial Management,12+ years teaching experience,Industry and Teaching experience
41,LT9001556,Max Rogers,Manchester,25-Aug-98,Ian Varley,Master of Business Administrator,Business Administration,Aston University,"Master of Business Administrator (Business Administration), Bachelor of Arts (Humanities), Post Graduate Certificate (Education)",US3003 - Managing People andOrganisations US3406 - Work Related Learning US1003- Management and Leadership,"Strategic Management, Leadership Human Resources","GCE, AE, CET 25 years teaching Experience Professional Certification Member of the Institute of Leadership and Management",Certification
42,LT9299139,Maurice Hedwell,Manchester,28-Aug-14,Ian Varley,Master of Business Administrator,Accounting and Finance,University of East London,"Post Graduate Diploma (Business), Master of Business Administrator (Accounting and Finance), Master of Arts (Leadership and Management), Post Degree Certificate (Education)",US2303 - Financial Management US3406 - Work Related Learning US4113 - Financial Accounting I US4223 - Retail Finance and Banking,Maurice Howell,"MA - Management and Leadership Practice; BA Accounting and Finance ; GCE (CET); B Ed - Business Education21 years teaching experience; Member - Institute for Learning (Up); PA In and PS II professional qualifications; Certificate In in Training and Assessment (Australia); V1, Certificate 4 Conducting Internal Quality Assurance of Assessment Process (CR); A1 - Assessor qualification (Excel Up)",Industry and Teaching experience
43,LT9284356,Fiona Newby,Manchester,01-Apr-14,Ian Varley,Master of Business Administrator,Business Administration,University Of Calcium,"Bachelor of Commerce (Commerce), Master of Business Administrator (Business Administration)",US3406 - Work Related Learning SS2103 - Personal Finance US1503 - Accounting for Managers,"Marketing Management, Accounting, He","Excel (Up) Professional Certificate in Planning and Delivering Vocational Qualifications, GC ET (India), (9+ years experience in Institutional Marketing, Corporate Training and Academic Teaching",Industry and Teaching experience
44,LT9276009,Amanda Hobson,Manchester,18-Aug-13,Ian Varley,Ph.D,Business Management,Univ of the Sunshine Coast,"Ph.D (Business Management), Post Graduate Certificate (Education), Master of Business Administrator (Business), Bachelor of Arts (Geography)",US2203 - Business Stats for Managers US2303 - Financial Management US3003 - Managing People andOrganisations US3406 - Work Related Learning SD1243 - Retail Operations,Economics and  Business Administration,"GCE, 11 years teaching experience",Industry and Teaching experience
59,LT9305756,Vanessa Federica,Bristol,05-Jan-15,Daphne Keaton,Master of Science,Taxation,University of Central Florida,Master of Science (Taxation),US4143 - IRS US3406 - Work Related Learning US4123 - Auditing US4163 - Taxation US3203 - Start Gt Bus Simulation,nan,nan,Industry and Teaching experience
60,LT9308852,Bernadette Winder,Bristol,08-Mar-15,Daphne Keaton,Master of Science,Strategic Management,Dublin Institute of Technology,"Bachelor of Arts (European Business Studies), Master of Science (Strategic Management)",US3003 - Managing People andOrganisations US4533 - Int'l Quality Gt System US4573 - Advanced Strategic Management US4373 - Strategic RM,nan,nan,Industry and Teaching experience
61,LT9251132,Michelle Frimpong,Bristol,26-Aug-12,Daphne Keaton,Master of Business Administrator,Business Administration,University of Iowa,"Bachelor (Chemical Engineering), Master of Business Administrator (Business Administration)",US3406 - Work Related Learning US1203 - Software Apps for Business SD2067 - Business Work Placement US4543 - Quality Management Tools US2103 - Operations Management,nan,nan,Industry and Teaching experience
62,LT9305962,Melvin Agyei,Bristol,19-Jan-15,Daphne Keaton,Master of Business Administrator,Business Administration,University of Phoenix,"Bachelor of Science (Radio and Television Arts), Master of Business Administrator (Business Administration)",US3406 - Work Related Learning SD1223 - Marketing Principles US1303 - Marketing,nan,nan,Industry and Teaching experience
63,LT9299170,Lily Craig-Hallam,Bristol,17-Aug-14,Daphne Keaton,Master of Arts,European Business Studies,University of Ulster,Master of Arts (European Business Studies),US2403 - Innovation and Entrepreneurship US3903 - Contemporary Business,nan,nan,Industry and Teaching experience
64,LT9259292,Kaya Gibbs,Bristol,17-Aug-14,Daphne Keaton,Master of Business Administrator,Business Administration,Concordia University,"Bachelor of Engineering (), Master of Business Administrator (Business Administration)",US2203 - Business Stats for Managers US3406 - Work Related Learning SD2067 - Business Work Placement US1503 - Accounting for Managers SH2113 - Foundations of Leadership,nan,nan,Industry and Teaching experience
65,LT9276937,Deepy Gurung,Bristol,18-Aug-13,Daphne Keaton,Masters,Intl Law and Intl Relations,University of New South Wales,"Graduate Diploma (Education), Certificate (Training and Assessment Systems), Bachelor of Business (Marketing), Masters (Intl Law and Intl Relations)",US2003 - Business and Commercial Law SH2113 -,nan,nan,Industry and Teaching experience
66,LT9301620,Tiech Shay,Bristol,24-Aug-14,Daphne Keaton,Master of Business Administrator,Business Administration,De la Salle University,Master of Business Administrator (Business Administration),US4183 - Corporate Finance US4213 - Financial Quantitative Methods US4153 - Financial Accounting In SD2043 - Practical Accounting,nan,nan,Industry and Teaching experience
67,LT9211589,Chloe Watson,Bristol,22-Feb-15,Daphne Keaton,Master of Business Administrator,Business,"Univ. of Wales, Cardiff","Master of Business Administrator (Business), Bachelor (Science)",US1003 - Management and Leadership US1303 - Marketing,nan,nan,Industry and Teaching experience
68,LT9216404,Clare Allsop,Bristol,30-Jan-11,Daphne Keaton,Master of Business Administrator,General Management,University of Wollongong,Master of Business Administrator (General Management),US3103 - Internet Bus Globalization US4563 - Strategic Marketing Management US1403 - Business Ethics and Corporate,Business Administration,years of teaching experience: 15 years of professional and management experience: 9,Industry and Teaching experience
69,LT9012184,Lara Burgess,Bristol,14-Sep-14,Daphne Keaton,Executive BA,Strategic Management,Massachusetts Institute of Technology,"Bachelor of Science (Computing), Executive BA (Strategic Management)",SD2263 - Socially Responsible Retailing SD2023 - Software Applications In SD2252 - Retailing Project In US1203 - Software Apps for Business,nan,nan,Industry and Teaching experience
70,LT9305841,Theresia Evans,Bristol,04-Jan-15,Daphne Keaton,Ph.D,Banking,Alagappa University,"Master of Business Administrator (Finance), Bachelor of Commerce (Commerce), Master of Philosophy (Management), Ph.D (Banking)",US4223 - Retail Finance and Banking US4916 - Integrative Industry Project US4133 - Managerial Accounting I US4263 - Corp Finance and Banking,nan,nan,Industry and Teaching experience
71,LT9252175,Falone Minsende,Bristol,26-Aug-12,Daphne Keaton,Ph.D,Human Resource Management,Univ of Southern Mississippi,"Ph.D (Human Resource Management), Master of Science (Industrial Technology)",US4583 - ISO Standards and Excellence US4956 - Integrative Industry Project US3003 - Managing People andOrganisations US3406 - Work Related Learning US4513 - Start Decisions with Gt Sc SD2067 - Business Work Placement,Human Resources Management,years of teaching experience: 10 years of professional and management experience: 3,Industry and Teaching experience
72,LT9304807,Charlote Garrod,Bristol,23-Aug-15,Daphne Keaton,BA,nan,Institute of Banking Studies & University of Jordan,"Bachelor (Computer Science), Masters (Banking)",US2303 - Financial Management,nan,nan,Industry and Teaching experience
73,LT9307988,Lyndon  Johnson,Bristol,08-Feb-15,Daphne Keaton,Master of Business Administrator,Business Administration,University of Karachi,"Master of Applied Science (Economics), Bachelor (Commerce), Master of Business Administrator (Business Administration)",US3406 - Work Related Learning US4233 - Financial Assets and Markets SS2103 - Personal Finance SD2067 - Business Work Placement,nan,nan,Industry and Teaching experience
74,LT9214849,Jonathan  Reid,Bristol,21-Aug-11,Daphne Keaton,Ph.D,Business,University of Western Sydney,"Diploma (Marketing), Ph.D (Business), Bachelor of Commerce (Tourism Management), Certificate (Training and Assessment Systems)",US3903 - Contemporary Business US3406 - Work Related Learning SD2222 - Retailing Project I US2913 - Sustaining Cultural Identity,Management and  Tourism Management,years of teaching experience: 8years of professional and management experience: 3,Industry and Teaching experience
75,LT9331060,Roshene Showers,Bristol,27-Sep-15,Daphne Keaton,Doctorate,nan,"Temple University School of Law, Philadelphia",nan,US2003 - Business and Commercial Law US4233 - Financial Assets and Markets,nan,nan,Industry and Teaching experience
76,LT9100850,Carlon Weller,Bristol,14-Aug-11,Daphne Keaton,Master of Marketing,Marketing,The University of Newcastle,"Bachelor of Business Admin. (Business Administration), Master of Marketing (Marketing)",SD2263 - Socially Responsible Retailing US3406 - Work Related Learning US1403 - Business Ethics and Corporate SD2067 - Business Work Placement,Marketing,years of teaching experience: 12 years of professional and management experience: 7,Industry and Teaching experience
77,LT9272822,Malilcah Williams,Bristol,18-Aug-13,Daphne Keaton,Ph.D,Business,Samurai Kamara University,"Bachelor (Business), Ph.D (Business), Masters (Business)",SD1233 - Ethics in a Retail Environment US3003 - Managing People andOrganisations US3903 - Contemporary Business,He and General Business,14 years of teaching experience and 1 year industry experience,Industry and Teaching experience
78,LT9214746,Martin Mayock,Bristol,03-Oct-10,Daphne Keaton,Master of Business,Operation Management,University of Western Sydney,"Diploma (Bin Adm-Transport and Logistics), Certificate (Occupational Health and Safety), Graduate Diploma (Vocational Education andTraining), Master of Business (Operation Management), Certificate (Training and Assessment Systems), Bachelor of Commerce (Operation Management), Diploma (Marketing Management), Diploma (Assessment and Workplace Train.)",SD2013 - Introduction to Human Resource US2103 - Operations Management US3203 - Start Gt Bus Simulation,Operations Management,years of teaching experience: 7 years of professional and management experience: 9,Industry and Teaching experience
79,LT9252098,John Neilis,Bristol,26-Aug-12,Daphne Keaton,Ph.D,Applied Business,Princeton University,"Bachelor (Accounting and Finance), Master of Business Administrator (Accounting and Finance), Ph.D (Applied Business), Master of Philosophy (Commerce)",US4173 - Managerial Accounting In US4113 - Financial Accounting I SS2103 - Personal Finance US1503 - Accounting for Managers,nan,nan,Industry and Teaching experience
80,LT9133995,Alison Goodchild,Bristol,17-Aug-08,Daphne Keaton,Master of Management,Management,Massey University,"Diploma (Business Administration), Bachelor of Science (Mathematics), Master of Management (Management)",US3103 - Internet Bus Globalization US4313 - Emil Relations AE Labour Law US4243 - International Trade and Finance,International Business and Strategic Management,5+ years of Industry Experience and 10+ years of teaching experience,Industry and Teaching experience
81,LT9258148,Jason Lee,Bristol,10-Feb-13,Kim Hughes,Master of Business Administrator,Management,University of Miami,Master of Business Administrator (Management),US3103 - Internet Bus Globalization US3903 - Contemporary Business,"Management ,Strategy and Marketing","8 years teaching, 12 years global industry, Six Sigma, CET and marketing Certification",Certification
82,LT9303270,Caroline Hasted,Bristol,04-Sep-14,Kim Hughes,Master of Business Administrator,Business Administration,Southern New Hampshire Univ.,"Master of Business Administrator (Business Administration), Ph.D (Business Administration)",US4583 - ISO Standards and Excellence US4573 - Advanced Strategic Management US4373 - Strategic RM US4936 - Integrative Industry Project,Quality and Organizational Behavior,"4 years teaching, 20 years working in business",Industry and Teaching experience
83,LT9252172,Lynsey Fowler,Bristol,26-Aug-12,Kim Hughes,Master of Law,Commercial and Corporate Law,University College of London,"Bachelor (Law), Master of Law (Commercial and Corporate Law), Bachelor of Law (Law)",US2003 - Business and Commercial Law SS2003 - Creating Your Future,Corporate and Commercial Law,"years of teaching experience: 8 years of professional and management experience: 12 Professional Certification: Certified Attorney, Certified Rotary Public and Certified Conveyance",Certification
84,LT9304439,Chris Josinlah,Bristol,21-Sep-14,Kim Hughes,Masters,Logistics Engineering,Korea Maritime University,"Bachelor (Economics), Post Graduate Diploma (Transportation Management), Masters (Finance), Masters (Logistics Engineering)",US4553 - Strategic Supply Chain Manager US3903 - Contemporary Business US4543 - Quality Management Tools US2103 - Operations Management,"Operations Management, Quality","9+ years teaching, 10+ working in business",Industry and Teaching experience
85,LT9001671,Steve Weaver,Bristol,12-Aug-99,Kim Hughes,Master of Business Administrator,Business Administration,Period-Watt University,"Bachelor of Commerce (Commerce), Master of Business Administrator (Business Administration)",US3003 - Managing People andOrganisations US4373 - Strategic RM US4353 - Int Human Resource Management US4323 - Career Development Planning,Business Administration,years of teaching experience: 34 years of professional and management experience: -,Industry and Teaching experience
86,LT9101233,Gillian Taylor,Bristol,26-Aug-09,Kim Hughes,Master of Business Administrator,Business Administration,Lebanese American University,"Master of Business Administrator (Business Administration), Bachelor of Science (Nutrition and Dietetics)",US4533 - Int'l Quality Gt System US1003 - Management and Leadership US2103 - Operations Management,Business Administration,"years of teaching experience: 14 years of professional and management experience: 2 , Six Sigma Green Belt",Industry and Teaching experience
87,LT9307386,Charlotte Mckinley,Bristol,01-Feb-15,Kim Hughes,Master of Business Administrator,Business Administration,University of Canberra,"Master of Business Administrator (Business Administration), Bachelor (Vocational Education andTraining), Graduate Certificate (Tourism Management)",US1003 - Management and Leadership US2913 - Sustaining Cultural Identity,"Tourism, Marketing, Organizational Behaviour",16 years teaching experience and 10+ years industry and 5 years commercial training,Industry and Teaching experience
88,LT9004552,Ummara Jamil,Bristol,16-Aug-09,Kim Hughes,Master of Philosophy,Adult Education,University of Glasgow,"Post Degree Certificate (Educating/Teaching Adult), Master of Philosophy (Adult Education), Bachelor of Arts (Business Management)",US2403 - Innovation and Entrepreneurship US1403 - Business Ethics and Corporate US1003 - Management and Leadership,General Management,years of teaching experience: 15 years of professional and management experience: 18 Professional Certification: CD,Certification
89,LT9301615,Tracey Poole,Bristol,17-Aug-14,Kim Hughes,Master of Business Administrator,Business Administration,Glasgow Caledonian University,Master of Business Administrator (Business Administration),US3003 - Managing People andOrganisation,He and General Business,"10+ years in industry, 4 years in Education",Industry and Teaching experience
90,LT9232564,Derryn Johnson,Bristol,14-Aug-11,Kim Hughes,MA in International Business,International Business,Vilnius University,MA in International Business (International Business),US4563 - Strategic Marketing Management SS2533 - Research Methods US4653 - International Marketing,Marketing and Strategy,years of teaching experience: 7 years of professional and management experience: 9 Professional Certification: Professional Trainer (AP),Certification
91,LT9000019,Elizabeth Ann Dean,Bristol,12-Aug-89,Kim Hughes,Master of Business Administrator,Marketing,University of Leicester,"Master of Business Administrator (Marketing), Bachelor of Business Admin. (Marketing)",US4113 - Financial Accounting I US1503 - Accounting for Managers US1303 - Marketing US3203 - Start Gt Bus Simulation,Marketing Management and Accounting,years of teaching experience: 24 years of professional and management experience: 5 Professional Certification: IS and FW and TW,Certification
